,state,state_abr,Trump_Positive,trump_pct,percentage_diff
8,District of Columbia,DC,43.50324651093365,5.4,38.10324651093365
41,South Dakota,SD,34.02061855670103,61.8,27.779381443298966
50,Wyoming,WY,45.11278195488722,70.4,25.287218045112787
36,Oklahoma,OK,42.03102961918195,65.4,23.368970380818055
34,North Dakota,ND,43.18181818181818,65.5,22.31818181818182
48,West Virginia,WV,49.08616187989556,68.6,19.51383812010443
40,South Carolina,SC,37.32394366197183,55.1,17.77605633802817
12,Idaho,ID,46.12403100775194,63.9,17.77596899224806
20,Maryland,MD,48.86891850015495,32.4,16.46891850015495
3,Arkansas,AR,47.405452946350046,62.4,14.994547053649953
4,California,CA,49.23182285127269,34.3,14.931822851272692
29,New Hampshire,NH,59.31758530183727,45.5,13.81758530183727
21,Massachusetts,MA,45.14549904813707,32.3,12.845499048137071
6,Connecticut,CT,51.1578947368421,39.2,11.9578947368421
25,Missouri,MO,45.07716870675891,56.8,11.722831293241086
26,Montana,MT,45.35714285714285,56.9,11.542857142857152
42,Tennessee,TN,49.18509895227008,60.7,11.514901047729921
17,Kentucky,KY,51.24694376528117,62.1,10.853056234718828
11,Hawaii,HI,44.86899563318777,34.3,10.568995633187775
45,Vermont,VT,41.22647237401336,30.8,10.426472374013361
18,Louisiana,LA,49.15143603133159,58.5,9.348563968668408
37,Oregon,OR,49.8114156399296,40.7,9.111415639929596
30,New Jersey,NJ,50.41456914421085,41.4,9.014569144210853
19,Maine,ME,51.75438596491229,44.0,7.754385964912288
0,Alabama,AL,54.59571527297857,62.2,7.6042847270214295
15,Iowa,IA,46.56290531776913,53.2,6.637094682230874
47,Washington,WA,45.53828439838802,39.0,6.538284398388022
32,New York,NY,47.47859481238982,41.5,5.978594812389822
7,Delaware,DE,34.54106280193236,39.8,5.258937198067635
13,Illinois,IL,45.75401269130273,40.5,5.2540126913027265
35,Ohio,OH,48.14512175192025,53.3,5.154878248079747
27,Nebraska,NE,53.35775335775336,58.5,5.14224664224664
33,North Carolina,NC,45.45071609098568,50.1,4.649283909014322
5,Colorado,CO,45.40082726019303,41.9,3.5008272601930344
14,Indiana,IN,53.951642006495845,57.1,3.148357993504156
1,Alaska,AK,55.80246913580247,53.1,2.702469135802467
49,Wisconsin,WI,46.303337558090405,48.9,2.5966624419095936
31,New Mexico,NM,46.09375,43.5,2.59375
10,Georgia,GA,51.59406181552689,49.3,2.294061815526895
39,Rhode Island,RI,41.089108910891085,38.8,2.2891089108910876
44,Utah,UT,55.92592592592592,58.2,2.274074074074086
24,Mississippi,MS,59.796437659033074,57.6,2.196437659033073
9,Florida,FL,49.01101091126501,51.2,2.188989088734992
38,Pennsylvania,PA,47.01850582590816,48.8,1.78149417409184
28,Nevada,NV,49.373191899710704,47.7,1.6731918997107016
16,Kansas,KS,54.85008818342152,56.5,1.6499118165784807
23,Minnesota,MN,46.6551724137931,45.4,1.2551724137931046
46,Virginia,VA,45.13274336283185,44.2,0.9327433628318502
2,Arizona,AZ,49.89621172807473,49.1,0.7962117280747307
43,Texas,TX,51.313086199196064,52.1,0.7869138008039371
22,Michigan,MI,47.95566502463054,47.8,0.15566502463054377
